Rank,Title,Year,Rating
1,The Shawshank Redemption,1994,9.3
2,The Godfather,1972,9.2
3,The Dark Knight,2008,9.1
4,The Godfather: Part II,1974,9.0
5,12 Angry Men,1957,9.0
6,The Lord of the Rings: The Return of the King,2003,9.0
7,Schindler's List,1993,9.0
8,Pulp Fiction,1994,8.8
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9
10,"Il Buono, Il Brutto, Il Cattivo",1966,8.8
11,Forrest Gump,1994,8.8
12,The Lord of the Rings: The Two Towers,2002,8.8
13,Fight Club,1999,8.8
14,Inception,2010,8.8
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
16,The Matrix,1999,8.7
17,GoodFellas,1990,8.7
18,Interstellar,2014,8.7
19,One Flew Over the Cuckoo's Nest,1975,8.7
20,Se7en,1995,8.6
21,It's a Wonderful Life,1946,8.6
22,The Silence of the Lambs,1991,8.6
23,Shichinin No Samurai,1954,8.6
24,Saving Private Ryan,1998,8.6
25,The Green Mile,1999,8.6
